Fecha;Tipo fuente;Suma de Generación
2021-01-01;Combustible fósil;29,3911241
2021-01-01;Hidráulica;124,787971
2021-01-02;Combustible fósil;32,02916602
2021-01-02;Hidráulica;134,5666407
2021-01-03;Combustible fósil;31,71239861
2021-01-03;Hidráulica;133,7100797
2021-01-04;Combustible fósil;34,60955482
2021-01-04;Hidráulica;152,0520414
2021-01-05;Combustible fósil;36,01973086
2021-01-05;Hidráulica;154,3964273
2021-01-06;Combustible fósil;36,52856539
2021-01-06;Hidráulica;156,2448093
2021-01-07;Combustible fósil;37,14260091
2021-01-07;Hidráulica;156,9221962
2021-01-08;Combustible fósil;38,3278127
2021-01-08;Hidráulica;152,8679983
2021-01-09;Combustible fósil;35,15078473
2021-01-09;Hidráulica;146,3988026
2021-01-10;Combustible fósil;32,33626133
2021-01-10;Hidráulica;136,2430856
2021-01-11;Combustible fósil;31,02680291
2021-01-11;Hidráulica;141,4559167
2021-01-12;Combustible fósil;28,96984903
2021-01-12;Hidráulica;163,4505762
2021-01-13;Combustible fósil;31,20734591
2021-01-13;Hidráulica;165,3366206
2021-01-14;Combustible fósil;28,18502303
2021-01-14;Hidráulica;170,0150251
2021-01-15;Combustible fósil;31,56920726
2021-01-15;Hidráulica;167,3589047
2021-01-16;Combustible fósil;30,23433051
2021-01-16;Hidráulica;159,788013
2021-01-17;Combustible fósil;29,86105816
2021-01-17;Hidráulica;142,2864975
2021-01-18;Combustible fósil;37,20785729
2021-01-18;Hidráulica;160,1375036
2021-01-19;Combustible fósil;42,05927753
2021-01-19;Hidráulica;157,8515159
2021-01-20;Combustible fósil;47,20131759
2021-01-20;Hidráulica;152,3015951
2021-01-21;Combustible fósil;46,15314525
2021-01-21;Hidráulica;154,4074076
2021-01-22;Combustible fósil;49,94434246
2021-01-22;Hidráulica;151,0837963
2021-01-23;Combustible fósil;49,35414707
2021-01-23;Hidráulica;141,1646191
2021-01-24;Combustible fósil;48,77340319
2021-01-24;Hidráulica;124,2732753
2021-01-25;Combustible fósil;53,00029286
2021-01-25;Hidráulica;143,9968777
2021-01-26;Combustible fósil;54,49119037
2021-01-26;Hidráulica;144,8436591
2021-01-27;Combustible fósil;61,12057547
2021-01-27;Hidráulica;139,746935
2021-01-28;Combustible fósil;53,40238155
2021-01-28;Hidráulica;147,5028268
2021-01-29;Combustible fósil;49,03847239
2021-01-29;Hidráulica;150,8318044
2021-01-30;Combustible fósil;47,89915123
2021-01-30;Hidráulica;141,5468926
2021-01-31;Combustible fósil;48,12035766
2021-01-31;Hidráulica;122,8121504
2021-02-01;Combustible fósil;54,23364922
2021-02-01;Hidráulica;144,1020774
2021-02-02;Combustible fósil;57,62471109
2021-02-02;Hidráulica;144,4917179
2021-02-03;Combustible fósil;59,35481579
2021-02-03;Hidráulica;144,2990076
2021-02-04;Combustible fósil;59,18100432
2021-02-04;Hidráulica;145,3949904
2021-02-05;Combustible fósil;57,10025437
2021-02-05;Hidráulica;149,1347852
2021-02-06;Combustible fósil;53,72990379
2021-02-06;Hidráulica;143,0956766
2021-02-07;Combustible fósil;53,91876021
2021-02-07;Hidráulica;124,0385777
2021-02-08;Combustible fósil;55,66285943
2021-02-08;Hidráulica;148,1939033
2021-02-09;Combustible fósil;56,69196609
2021-02-09;Hidráulica;147,7737832
2021-02-10;Combustible fósil;54,70275316
2021-02-10;Hidráulica;148,5080184
2021-02-11;Combustible fósil;56,12262514
2021-02-11;Hidráulica;148,2447339
2021-02-12;Combustible fósil;56,0737952
2021-02-12;Hidráulica;148,2050535
2021-02-13;Combustible fósil;61,19512582
2021-02-13;Hidráulica;134,2603995
2021-02-14;Combustible fósil;55,57066016
2021-02-14;Hidráulica;120,4821245
2021-02-15;Combustible fósil;58,47663135
2021-02-15;Hidráulica;141,3455529
2021-02-16;Combustible fósil;55,75722515
2021-02-16;Hidráulica;146,8114907
2021-02-17;Combustible fósil;54,13569128
2021-02-17;Hidráulica;147,3339551
2021-02-18;Combustible fósil;55,12479381
2021-02-18;Hidráulica;148,6708337
2021-02-19;Combustible fósil;54,85948665
2021-02-19;Hidráulica;148,6506837
2021-02-20;Combustible fósil;51,68494261
2021-02-20;Hidráulica;143,4968465
2021-02-21;Combustible fósil;53,74591736
2021-02-21;Hidráulica;122,7845828
2021-02-22;Combustible fósil;57,14448288
2021-02-22;Hidráulica;143,055032
