Hora;Fecha;Precio Bolsa Nacional
P1;2021-01-01; 142,3 
P1;2021-01-02; 86,1 
P1;2021-01-03; 128,2 
P1;2021-01-04; 126,5 
P1;2021-01-05; 146,5 
P1;2021-01-06; 169,2 
P1;2021-01-07; 169,4 
P1;2021-01-08; 170,8 
P1;2021-01-09; 115,6 
P1;2021-01-10; 166,2 
P1;2021-01-11; 156,5 
P1;2021-01-12; 115,8 
P1;2021-01-13; 115,9 
P1;2021-01-14; 118,5 
P1;2021-01-15; 135,8 
P1;2021-01-16; 144,5 
P1;2021-01-17; 157,8 
P1;2021-01-18; 153,1 
P1;2021-01-19; 176,4 
P1;2021-01-20; 179,4 
P1;2021-01-21; 178,3 
P1;2021-01-22; 204,0 
P1;2021-01-23; 209,4 
P1;2021-01-24; 195,1 
P1;2021-01-25; 233,1 
P1;2021-01-26; 228,6 
P1;2021-01-27; 229,1 
P1;2021-01-28; 207,7 
P1;2021-01-29; 206,2 
P1;2021-01-30; 218,2 
P1;2021-01-31; 208,1 
P1;2021-02-01; 222,2 
P1;2021-02-02; 228,3 
P1;2021-02-03; 236,6 
P1;2021-02-04; 237,6 
P1;2021-02-05; 243,7 
P1;2021-02-06; 246,2 
P1;2021-02-07; 253,7 
P1;2021-02-08; 262,8 
P1;2021-02-09; 271,7 
P1;2021-02-10; 279,7 
P1;2021-02-11; 283,6 
P1;2021-02-12; 266,7 
P1;2021-02-13; 286,6 
P1;2021-02-14; 247,0 
P1;2021-02-15; 236,8 
P1;2021-02-16; 236,9 
P1;2021-02-17; 257,0 
P1;2021-02-18; 254,4 
P1;2021-02-19; 255,7 
P1;2021-02-20; 253,9 
P1;2021-02-21; 257,5 
P1;2021-02-22; 237,7 
P1;2021-02-23; 228,2 
P1;2021-02-24; 232,5 
P1;2021-02-25; 236,5 
P1;2021-02-26; 251,4 
P1;2021-02-27; 255,8 
P1;2021-02-28; 229,8 
P1;2021-03-01; 111,2 
P1;2021-03-02; 210,6 
P1;2021-03-03; 154,0 
P1;2021-03-04; 115,7 
P1;2021-03-05; 179,1 
P1;2021-03-06; 158,0 
P1;2021-03-07; 155,4 
P1;2021-03-08; 140,1 
P1;2021-03-09; 141,2 
P1;2021-03-10; 139,8 
P1;2021-03-11; 130,1 
P1;2021-03-12; 135,1 
P1;2021-03-13; 139,2 
P1;2021-03-14; 134,0 
P1;2021-03-15; 140,4 
P1;2021-03-16; 155,9 
P1;2021-03-17; 130,0 
P1;2021-03-18; 129,7 
P1;2021-03-19; 127,2 
P1;2021-03-20; 128,1 
P1;2021-03-21; 125,8 
P1;2021-03-22; 119,5 
P1;2021-03-23; 124,8 
P1;2021-03-24; 122,8 
P1;2021-03-25; 124,8 
P1;2021-03-26; 124,8 
P1;2021-03-27; 114,0 
P1;2021-03-28; 151,1 
P1;2021-03-29; 105,6 
P1;2021-03-30; 149,2 
P1;2021-03-31; 149,3 
P1;2021-04-01; 143,1 
P1;2021-04-02; 149,1 
P1;2021-04-03; 143,4 
P1;2021-04-04; 138,0 
P1;2021-04-05; 139,1 
P1;2021-04-06; 152,4 
P1;2021-04-07; 147,0 
P1;2021-04-08; 132,4 
P1;2021-04-09; 139,8 
P1;2021-04-10; 135,4 
P1;2021-04-11; 133,2 
P1;2021-04-12; 130,3 
P1;2021-04-13; 133,1 
P1;2021-04-14; 130,6 
P1;2021-04-15; 135,9 
P1;2021-04-16; 135,7 
P1;2021-04-17; 148,8 
P1;2021-04-18; 158,3 
P1;2021-04-19; 150,7 
P1;2021-04-20; 159,9 
P1;2021-04-21; 164,8 
P1;2021-04-22; 158,9 
P1;2021-04-23; 145,4 
P1;2021-04-24; 168,9 
P1;2021-04-25; 183,0 
P1;2021-04-26; 145,9 
P1;2021-04-27; 170,0 
P1;2021-04-28; 147,3 
P1;2021-04-29; 116,1 
P1;2021-04-30; 113,4 
P1;2021-05-01; 127,6 
P1;2021-05-02; 116,4 
P1;2021-05-03; 92,9 
P1;2021-05-04; 87,4 
P1;2021-05-05; 111,7 
P1;2021-05-06; 92,4 
P1;2021-05-07; 93,9 
P1;2021-05-08; 109,9 
P1;2021-05-09; 106,0 
P1;2021-05-10; 93,6 
P1;2021-05-11; 92,5 
P1;2021-05-12; 92,9 
P1;2021-05-13; 87,0 
P1;2021-05-14; 92,5 
P1;2021-05-15; 93,7 
P1;2021-05-16; 93,1 
P1;2021-05-17; 91,0 
P1;2021-05-18; 91,0 
P1;2021-05-19; 92,9 
P1;2021-05-20; 90,1 
P1;2021-05-21; 91,0 
P1;2021-05-22; 90,9 
P1;2021-05-23; 91,7 
P1;2021-05-24; 86,5 
P1;2021-05-25; 92,7 
P1;2021-05-26; 90,6 
P1;2021-05-27; 91,3 
P1;2021-05-28; 93,6 
P1;2021-05-29; 94,9 
P1;2021-05-30; 93,3 
P1;2021-05-31; 86,4 
P1;2021-06-01; 89,0 
P1;2021-06-02; 85,1 
P1;2021-06-03; 85,4 
P1;2021-06-04; 89,5 
P1;2021-06-05; 91,4 
P1;2021-06-06; 92,8 
P1;2021-06-07; 91,2 
P1;2021-06-08; 85,8 
P1;2021-06-09; 85,9 
P1;2021-06-10; 85,8 
P1;2021-06-11; 85,1 
P1;2021-06-12; 86,2 
P1;2021-06-13; 85,2 
P1;2021-06-14; 85,6 
P1;2021-06-15; 86,3 
P1;2021-06-16; 87,6 
P1;2021-06-17; 86,6 
P1;2021-06-18; 88,0 
P1;2021-06-19; 87,9 
P1;2021-06-20; 87,0 
P1;2021-06-21; 85,6 
P1;2021-06-22; 85,5 
P1;2021-06-23; 85,5 
P1;2021-06-24; 86,5 
P1;2021-06-25; 87,3 
P1;2021-06-26; 86,3 
P1;2021-06-27; 85,7 
P1;2021-06-28; 91,2 
P1;2021-06-29; 86,6 
P1;2021-06-30; 92,1 
P1;2021-07-01; 89,3 
P1;2021-07-02; 90,4 
P1;2021-07-03; 93,3 
P1;2021-07-04; 90,9 
P1;2021-07-05; 84,4 
P1;2021-07-06; 90,4 
P1;2021-07-07; 89,5 
P1;2021-07-08; 91,2 
P1;2021-07-09; 90,8 
P1;2021-07-10; 90,5 
P1;2021-07-11; 90,4 
P1;2021-07-12; 91,7 
P1;2021-07-13; 90,8 
P1;2021-07-14; 90,5 
P1;2021-07-15; 90,1 
P1;2021-07-16; 90,3 
P1;2021-07-17; 85,8 
P1;2021-07-18; 91,4 
P1;2021-07-19; 90,5 
P1;2021-07-20; 91,6 
P1;2021-07-21; 90,5 
P1;2021-07-22; 92,7 
P1;2021-07-23; 93,8 
P1;2021-07-24; 91,9 
P1;2021-07-25; 90,3 
P1;2021-07-26; 84,5 
P1;2021-07-27; 93,2 
P1;2021-07-28; 86,1 
P1;2021-07-29; 84,6 
P1;2021-07-30; 91,5 
P1;2021-07-31; 90,2 
P1;2021-08-01; 90,8 
P1;2021-08-02; 92,1 
P1;2021-08-03; 85,9 
P1;2021-08-04; 84,9 
P1;2021-08-05; 92,1 
P1;2021-08-06; 91,9 
P1;2021-08-07; 92,1 
P1;2021-08-08; 90,4 
P1;2021-08-09; 85,1 
P1;2021-08-10; 90,7 
P1;2021-08-11; 90,7 
P1;2021-08-12; 90,9 
P1;2021-08-13; 91,4 
P1;2021-08-14; 92,0 
P1;2021-08-15; 93,3 
P1;2021-08-16; 85,1 
P1;2021-08-17; 88,0 
P1;2021-08-18; 90,0 
P1;2021-08-19; 89,4 
P1;2021-08-20; 88,0 
P1;2021-08-21; 89,0 
P1;2021-08-22; 87,6 
P1;2021-08-23; 85,8 
P1;2021-08-24; 85,8 
P1;2021-08-25; 86,3 
P1;2021-08-26; 85,0 
P1;2021-08-27; 85,3 
P1;2021-08-28; 90,6 
P1;2021-08-29; 85,3 
P1;2021-08-30; 85,4 
P1;2021-08-31; 87,1 
P1;2021-09-01; 85,7 
P1;2021-09-02; 85,3 
P1;2021-09-03; 90,5 
P1;2021-09-04; 92,3 
P1;2021-09-05; 90,2 
P1;2021-09-06; 89,9 
P1;2021-09-07; 90,8 
P1;2021-09-08; 91,0 
P1;2021-09-09; 91,2 
P1;2021-09-10; 93,2 
P1;2021-09-11; 95,0 
P1;2021-09-12; 85,9 
P1;2021-09-13; 89,9 
P1;2021-09-14; 90,2 
P1;2021-09-15; 91,8 
P1;2021-09-16; 91,7 
P1;2021-09-17; 90,6 
P1;2021-09-18; 90,5 
P1;2021-09-19; 92,5 
P1;2021-09-20; 101,5 
P1;2021-09-21; 118,3 
P1;2021-09-22; 129,9 
P1;2021-09-23; 138,6 
P1;2021-09-24; 129,6 
P1;2021-09-25; 94,4 
P1;2021-09-26; 89,9 
P1;2021-09-27; 93,9 
P1;2021-09-28; 94,6 
P1;2021-09-29; 94,1 
P1;2021-09-30; 84,5 
P1;2021-10-01; 90,1 
P1;2021-10-02; 93,5 
P1;2021-10-03; 90,4 
P1;2021-10-04; 87,2 
P1;2021-10-05; 90,8 
P1;2021-10-06; 89,6 
P1;2021-10-07; 91,7 
P1;2021-10-08; 87,0 
P1;2021-10-09; 87,8 
P1;2021-10-10; 87,3 
P1;2021-10-11; 87,4 
P1;2021-10-12; 86,9 
P1;2021-10-13; 87,3 
P1;2021-10-14; 87,1 
P1;2021-10-15; 82,3 
P1;2021-10-16; 87,2 
P1;2021-10-17; 87,1 
P1;2021-10-18; 87,3 
P1;2021-10-19; 88,4 
P1;2021-10-20; 90,2 
P1;2021-10-21; 82,9 
P1;2021-10-22; 88,0 
P1;2021-10-23; 86,9 
P1;2021-10-24; 87,9 
P1;2021-10-25; 86,9 
P1;2021-10-26; 90,8 
P1;2021-10-27; 88,8 
P1;2021-10-28; 87,4 
P1;2021-10-29; 87,6 
P1;2021-10-30; 86,1 
P1;2021-10-31; 87,5 
P1;2021-11-01; 87,3 
P1;2021-11-02; 86,8 
P1;2021-11-03; 94,1 
P1;2021-11-04; 93,0 
P1;2021-11-05; 92,1 
P1;2021-11-06; 94,0 
P1;2021-11-07; 92,2 
P1;2021-11-08; 92,2 
P1;2021-11-09; 92,1 
P1;2021-11-10; 92,3 
P1;2021-11-11; 93,7 
P1;2021-11-12; 92,7 
P1;2021-11-13; 92,0 
P1;2021-11-14; 92,7 
P1;2021-11-15; 91,5 
P1;2021-11-16; 92,7 
P1;2021-11-17; 93,3 
P1;2021-11-18; 92,4 
P1;2021-11-19; 92,8 
P1;2021-11-20; 93,5 
P1;2021-11-21; 102,0 
P1;2021-11-22; 96,2 
P1;2021-11-23; 108,5 
P1;2021-11-24; 113,3 
P1;2021-11-25; 96,5 
P1;2021-11-26; 95,3 
P1;2021-11-27; 92,7 
P1;2021-11-28; 94,1 
P1;2021-11-29; 92,5 
P1;2021-11-30; 92,8 
P1;2021-12-01; 95,4 
P1;2021-12-02; 94,9 
P1;2021-12-03; 95,3 
P1;2021-12-04; 95,2 
P1;2021-12-05; 117,9 
P1;2021-12-06; 105,1 
P1;2021-12-07; 121,2 
P1;2021-12-08; 141,4 
P1;2021-12-09; 165,9 
P1;2021-12-10; 187,1 
P1;2021-12-11; 218,7 
P1;2021-12-12; 255,8 
P1;2021-12-13; 271,2 
P1;2021-12-14; 365,7 
P1;2021-12-15; 396,2 
P1;2021-12-16; 455,9 
P1;2021-12-17; 477,3 
P1;2021-12-18; 501,0 
P1;2021-12-19; 544,4 
P1;2021-12-20; 566,4 
P1;2021-12-21; 583,3 
P1;2021-12-22; 501,9 
P1;2021-12-23; 556,6 
P1;2021-12-24; 457,4 
P1;2021-12-25; 206,6 
P1;2021-12-26; 356,5 
P1;2021-12-27; 357,2 
P1;2021-12-28; 441,5 
P1;2021-12-29; 395,5 
P1;2021-12-30; 335,7 
P1;2021-12-31; 189,5 
P1;2022-01-01; 186,6 
P1;2022-01-02; 145,7 
P1;2022-01-03; 97,9 
P1;2022-01-04; 98,1 
P1;2022-01-05; 114,6 
P1;2022-01-06; 181,4 
P1;2022-01-07; 183,6 
P1;2022-01-08; 202,1 
P1;2022-01-09; 200,1 
P1;2022-01-10; 203,7 
P1;2022-01-11; 213,7 
P1;2022-01-12; 229,5 
P1;2022-01-13; 233,9 
P1;2022-01-14; 243,3 
P1;2022-01-15; 249,8 
P1;2022-01-16; 241,4 
